ticker,date,open,high,low,close,volume,adjustedClose
^BVSP,16/12/2020 10:00,116149,118178,115496,117947,9808100,117947
^BVSP,17/12/2020 10:00,117864,119027,117856,118157,7701400,118157
^BVSP,18/12/2020 10:00,118395,119370,117639,117679,8636000,117679
^BVSP,21/12/2020 10:00,118021,118021,114730,116016,10347100,116016
^BVSP,22/12/2020 10:00,115825,116903,115648,116348,6947900,116348
^BVSP,23/12/2020 10:00,116636,118311,116636,117857,6483300,117857
^BVSP,28/12/2020 10:00,117806,119213,117805,119051,7171700,119051
^BVSP,29/12/2020 10:00,119130,119861,118750,119475,6769700,119475
^BVSP,30/12/2020 10:00,119410,120150,118919,119306,8235700,119306
^BVSP,04/01/2021 10:00,119024,120354,118062,118558,8741400,118558
^BVSP,05/01/2021 10:00,118835,119790,116756,119223,9257100,119223
^BVSP,06/01/2021 10:00,119377,120924,118917,119851,11638200,119851
^BVSP,07/01/2021 10:00,119103,121983,119101,121956,11774800,121956
^BVSP,08/01/2021 10:00,122387,125324,122386,125077,11085800,125077
^BVSP,11/01/2021 10:00,125075,125075,122506,122807,9537600,122807
^BVSP,12/01/2021 19:05,123255,124584,123227,123998,8949000,123998
^BVSP,13/01/2021 10:00,123996,124032,121016,122040,10291500,122040
^BVSP,14/01/2021 10:00,121947,123896,121947,123481,8974400,123481
^BVSP,15/01/2021 10:00,123472,123472,120374,120502,9387600,120502
^BVSP,18/01/2021 10:00,120351,122586,120351,121242,7223100,121242
^BVSP,19/01/2021 10:00,121250,122120,119257,120673,7886000,120673
^BVSP,20/01/2021 10:00,120645,121449,118740,119708,7947300,119708
^BVSP,21/01/2021 10:00,119628,120243,117785,118443,8573900,118443
^BVSP,22/01/2021 10:00,118318,118318,116109,117172,9373100,117172
^BVSP,26/01/2021 10:00,117381,119167,116109,116464,10681400,116464
^BVSP,27/01/2021 10:00,116463,117840,114887,115882,12380400,115882
^BVSP,28/01/2021 10:00,115882,119314,115734,119314,12065900,119314
^BVSP,29/01/2021 10:00,118880,118880,115299,116007,10965200,116007
^BVSP,01/02/2021 10:00,115093,117862,115093,117365,8716500,117365
^BVSP,02/02/2021 10:00,117520,119805,117519,118234,11625900,118234
^BVSP,03/02/2021 10:00,118235,120210,118234,119725,8704300,119725
^BVSP,04/02/2021 10:00,119728,120560,118918,119261,8100700,119261
^BVSP,05/02/2021 10:00,119261,121117,119261,119925,8208400,119925
